fpr,tpr,model
0.0,0.0,CNN-2D
0.0,0.00392156862745098,CNN-2D
0.0,0.00784313725490196,CNN-2D
0.002150537634408602,0.00784313725490196,CNN-2D
0.002150537634408602,0.023529411764705882,CNN-2D
0.004301075268817204,0.023529411764705882,CNN-2D
0.004301075268817204,0.054901960784313725,CNN-2D
0.0064516129032258064,0.054901960784313725,CNN-2D
0.0064516129032258064,0.11764705882352941,CNN-2D
0.008602150537634409,0.11764705882352941,CNN-2D
0.008602150537634409,0.13725490196078433,CNN-2D
0.012903225806451613,0.13725490196078433,CNN-2D
0.012903225806451613,0.14901960784313725,CNN-2D
0.015053763440860216,0.14901960784313725,CNN-2D
0.015053763440860216,0.21568627450980393,CNN-2D
0.01935483870967742,0.21568627450980393,CNN-2D
0.01935483870967742,0.29411764705882354,CNN-2D
0.023655913978494623,0.29411764705882354,CNN-2D
0.023655913978494623,0.30980392156862746,CNN-2D
0.02795698924731183,0.30980392156862746,CNN-2D
0.02795698924731183,0.37254901960784315,CNN-2D
0.030107526881720432,0.37254901960784315,CNN-2D
0.030107526881720432,0.40784313725490196,CNN-2D
0.03225806451612903,0.40784313725490196,CNN-2D
0.03225806451612903,0.41568627450980394,CNN-2D
0.034408602150537634,0.41568627450980394,CNN-2D
0.034408602150537634,0.4666666666666667,CNN-2D
0.03655913978494624,0.4666666666666667,CNN-2D
0.03655913978494624,0.5372549019607843,CNN-2D
0.04086021505376344,0.5372549019607843,CNN-2D
0.04086021505376344,0.5450980392156862,CNN-2D
0.043010752688172046,0.5450980392156862,CNN-2D
0.043010752688172046,0.5843137254901961,CNN-2D
0.04516129032258064,0.5843137254901961,CNN-2D
0.04516129032258064,0.6196078431372549,CNN-2D
0.047311827956989246,0.6196078431372549,CNN-2D
0.047311827956989246,0.6313725490196078,CNN-2D
0.04946236559139785,0.6313725490196078,CNN-2D
0.04946236559139785,0.6392156862745098,CNN-2D
0.05161290322580645,0.6392156862745098,CNN-2D
0.05161290322580645,0.6509803921568628,CNN-2D
0.053763440860215055,0.6509803921568628,CNN-2D
0.053763440860215055,0.7019607843137254,CNN-2D
0.05806451612903226,0.7019607843137254,CNN-2D
0.05806451612903226,0.7058823529411765,CNN-2D
0.060215053763440864,0.7058823529411765,CNN-2D
0.060215053763440864,0.7098039215686275,CNN-2D
0.06666666666666667,0.7098039215686275,CNN-2D
0.06666666666666667,0.7372549019607844,CNN-2D
0.06881720430107527,0.7372549019607844,CNN-2D
0.06881720430107527,0.7647058823529411,CNN-2D
0.07311827956989247,0.7647058823529411,CNN-2D
0.07311827956989247,0.7764705882352941,CNN-2D
0.07526881720430108,0.7764705882352941,CNN-2D
0.07526881720430108,0.7843137254901961,CNN-2D
0.07741935483870968,0.7843137254901961,CNN-2D
