model,pitch_type,FB,FBwM,OFF,precision,recall,f1-score,auc,auprc,test_support,MCC
CNN-2D,FB,270.0,74.0,31.0,0.68,0.72,0.698,0.825,0.76,75,0.442
CNN-2D,FBwM,81.0,93.0,36.0,0.423,0.443,0.426,0.701,0.425,42,0.442
CNN-2D,OFF,48.0,58.0,209.0,0.763,0.664,0.708,0.852,0.762,63,0.442
CNN-2D,Weighted Ave.,,,,0.649,0.636,0.638,0.807,0.691,180,0.442
CNN-3D,FB,253.0,68.0,54.0,0.66,0.675,0.666,0.791,0.728,75,0.371
CNN-3D,FBwM,71.0,72.0,67.0,0.393,0.343,0.362,0.679,0.384,42,0.371
CNN-3D,OFF,61.0,45.0,209.0,0.635,0.664,0.648,0.808,0.69,63,0.371
CNN-3D,Weighted Ave.,,,,0.589,0.593,0.589,0.774,0.641,180,0.371
CNN-3D-LSTM,FB,250.0,103.0,22.0,0.672,0.667,0.669,0.807,0.723,75,0.368
CNN-3D-LSTM,FBwM,73.0,94.0,43.0,0.334,0.448,0.382,0.635,0.345,42,0.368
CNN-3D-LSTM,OFF,50.0,86.0,179.0,0.733,0.568,0.638,0.818,0.729,63,0.368
CNN-3D-LSTM,Weighted Ave.,,,,0.615,0.581,0.591,0.767,0.633,180,0.368
CNN-Branched,FB,241.0,70.0,64.0,0.537,0.643,0.581,0.693,0.627,75,0.23
CNN-Branched,FBwM,113.0,51.0,46.0,0.315,0.243,0.217,0.604,0.34,42,0.23
CNN-Branched,OFF,97.0,59.0,159.0,0.609,0.505,0.542,0.735,0.611,63,0.23
CNN-Branched,Weighted Ave.,,,,0.51,0.501,0.483,0.686,0.538,180,0.23
