metric,value,model
accuracy,0.583,CNN-3D
accuracy,0.594,CNN-3D
accuracy,0.611,CNN-3D
accuracy,0.55,CNN-3D
accuracy,0.628,CNN-3D
MCC,0.351,CNN-3D
MCC,0.368,CNN-3D
MCC,0.409,CNN-3D
MCC,0.3,CNN-3D
MCC,0.428,CNN-3D
F1,0.576,CNN-3D
F1,0.584,CNN-3D
F1,0.619,CNN-3D
F1,0.539,CNN-3D
F1,0.627,CNN-3D
accuracy,0.572,CNN-3D-LSTM
accuracy,0.611,CNN-3D-LSTM
accuracy,0.533,CNN-3D-LSTM
accuracy,0.55,CNN-3D-LSTM
accuracy,0.639,CNN-3D-LSTM
MCC,0.346,CNN-3D-LSTM
MCC,0.416,CNN-3D-LSTM
MCC,0.306,CNN-3D-LSTM
MCC,0.32,CNN-3D-LSTM
MCC,0.454,CNN-3D-LSTM
F1,0.576,CNN-3D-LSTM
F1,0.623,CNN-3D-LSTM
F1,0.545,CNN-3D-LSTM
F1,0.561,CNN-3D-LSTM
F1,0.649,CNN-3D-LSTM
accuracy,0.489,CNN-Branched
accuracy,0.539,CNN-Branched
accuracy,0.55,CNN-Branched
accuracy,0.456,CNN-Branched
accuracy,0.472,CNN-Branched
MCC,0.182,CNN-Branched
MCC,0.301,CNN-Branched
MCC,0.287,CNN-Branched
MCC,0.198,CNN-Branched
MCC,0.184,CNN-Branched
F1,0.434,CNN-Branched
F1,0.542,CNN-Branched
F1,0.493,CNN-Branched
F1,0.47,CNN-Branched
F1,0.474,CNN-Branched
accuracy,0.628,CNN-2D
accuracy,0.617,CNN-2D
accuracy,0.639,CNN-2D
accuracy,0.65,CNN-2D
accuracy,0.644,CNN-2D
MCC,0.427,CNN-2D
MCC,0.407,CNN-2D
MCC,0.469,CNN-2D
MCC,0.455,CNN-2D
MCC,0.453,CNN-2D
F1,0.629,CNN-2D
F1,0.615,CNN-2D
F1,0.655,CNN-2D
F1,0.642,CNN-2D
F1,0.648,CNN-2D
