metric,value,model
accuracy,0.847,CNN-3D
accuracy,0.819,CNN-3D
accuracy,0.799,CNN-3D
accuracy,0.826,CNN-3D
accuracy,0.819,CNN-3D
AUC,0.907,CNN-3D
AUC,0.89,CNN-3D
AUC,0.886,CNN-3D
AUC,0.916,CNN-3D
AUC,0.883,CNN-3D
AUPRC,0.816,CNN-3D
AUPRC,0.808,CNN-3D
AUPRC,0.778,CNN-3D
AUPRC,0.844,CNN-3D
AUPRC,0.801,CNN-3D
MCC,0.666,CNN-3D
MCC,0.602,CNN-3D
MCC,0.547,CNN-3D
MCC,0.611,CNN-3D
MCC,0.597,CNN-3D
F1,0.847,CNN-3D
F1,0.819,CNN-3D
F1,0.794,CNN-3D
F1,0.822,CNN-3D
F1,0.817,CNN-3D
accuracy,0.854,CNN-3D-LSTM
accuracy,0.819,CNN-3D-LSTM
accuracy,0.875,CNN-3D-LSTM
accuracy,0.785,CNN-3D-LSTM
accuracy,0.806,CNN-3D-LSTM
AUC,0.907,CNN-3D-LSTM
AUC,0.868,CNN-3D-LSTM
AUC,0.938,CNN-3D-LSTM
AUC,0.889,CNN-3D-LSTM
AUC,0.843,CNN-3D-LSTM
AUPRC,0.816,CNN-3D-LSTM
AUPRC,0.825,CNN-3D-LSTM
AUPRC,0.863,CNN-3D-LSTM
AUPRC,0.817,CNN-3D-LSTM
AUPRC,0.731,CNN-3D-LSTM
MCC,0.675,CNN-3D-LSTM
MCC,0.595,CNN-3D-LSTM
MCC,0.723,CNN-3D-LSTM
MCC,0.511,CNN-3D-LSTM
MCC,0.564,CNN-3D-LSTM
F1,0.85,CNN-3D-LSTM
F1,0.814,CNN-3D-LSTM
F1,0.874,CNN-3D-LSTM
F1,0.774,CNN-3D-LSTM
F1,0.801,CNN-3D-LSTM
accuracy,0.799,CNN-Branched
accuracy,0.861,CNN-Branched
accuracy,0.812,CNN-Branched
accuracy,0.812,CNN-Branched
accuracy,0.826,CNN-Branched
AUC,0.867,CNN-Branched
AUC,0.897,CNN-Branched
AUC,0.876,CNN-Branched
AUC,0.865,CNN-Branched
AUC,0.882,CNN-Branched
AUPRC,0.788,CNN-Branched
AUPRC,0.796,CNN-Branched
AUPRC,0.757,CNN-Branched
AUPRC,0.768,CNN-Branched
AUPRC,0.762,CNN-Branched
MCC,0.551,CNN-Branched
MCC,0.696,CNN-Branched
MCC,0.581,CNN-Branched
MCC,0.578,CNN-Branched
MCC,0.622,CNN-Branched
F1,0.796,CNN-Branched
F1,0.861,CNN-Branched
F1,0.809,CNN-Branched
F1,0.803,CNN-Branched
F1,0.827,CNN-Branched
accuracy,0.882,CNN-2D
accuracy,0.882,CNN-2D
accuracy,0.84,CNN-2D
accuracy,0.882,CNN-2D
accuracy,0.868,CNN-2D
AUC,0.917,CNN-2D
AUC,0.919,CNN-2D
AUC,0.918,CNN-2D
AUC,0.934,CNN-2D
AUC,0.905,CNN-2D
AUPRC,0.854,CNN-2D
AUPRC,0.834,CNN-2D
AUPRC,0.843,CNN-2D
AUPRC,0.87,CNN-2D
AUPRC,0.796,CNN-2D
MCC,0.738,CNN-2D
MCC,0.738,CNN-2D
MCC,0.644,CNN-2D
MCC,0.741,CNN-2D
MCC,0.707,CNN-2D
F1,0.88,CNN-2D
F1,0.88,CNN-2D
F1,0.837,CNN-2D
F1,0.882,CNN-2D
F1,0.866,CNN-2D
