epoch,loss,model,fold,dataset
1,11.727025032043457,CNN-2D,0,training
2,11.400601387023926,CNN-2D,0,training
3,11.08595085144043,CNN-2D,0,training
4,10.772768020629883,CNN-2D,0,training
5,10.462068557739258,CNN-2D,0,training
6,10.16060733795166,CNN-2D,0,training
7,9.857478141784668,CNN-2D,0,training
8,9.577730178833008,CNN-2D,0,training
9,9.279084205627441,CNN-2D,0,training
10,8.99849796295166,CNN-2D,0,training
11,8.721881866455078,CNN-2D,0,training
12,8.453073501586914,CNN-2D,0,training
13,8.184343338012695,CNN-2D,0,training
14,7.913544178009033,CNN-2D,0,training
15,7.654684543609619,CNN-2D,0,training
16,7.390564441680908,CNN-2D,0,training
17,7.157413005828857,CNN-2D,0,training
18,6.919963836669922,CNN-2D,0,training
19,6.689838409423828,CNN-2D,0,training
20,6.45404052734375,CNN-2D,0,training
21,6.2155375480651855,CNN-2D,0,training
22,6.010988712310791,CNN-2D,0,training
23,5.79224157333374,CNN-2D,0,training
24,5.583923816680908,CNN-2D,0,training
25,5.420159816741943,CNN-2D,0,training
26,5.19474983215332,CNN-2D,0,training
27,4.978681564331055,CNN-2D,0,training
28,4.830820560455322,CNN-2D,0,training
29,4.636122703552246,CNN-2D,0,training
30,4.478424072265625,CNN-2D,0,training
31,4.297436714172363,CNN-2D,0,training
32,4.129811763763428,CNN-2D,0,training
33,3.9806292057037354,CNN-2D,0,training
34,3.8357224464416504,CNN-2D,0,training
35,3.6859772205352783,CNN-2D,0,training
36,3.5541155338287354,CNN-2D,0,training
37,3.4370968341827393,CNN-2D,0,training
38,3.299372911453247,CNN-2D,0,training
39,3.1702215671539307,CNN-2D,0,training
40,3.0389301776885986,CNN-2D,0,training
41,2.9310758113861084,CNN-2D,0,training
42,2.842524528503418,CNN-2D,0,training
43,2.6897943019866943,CNN-2D,0,training
44,2.661224126815796,CNN-2D,0,training
45,2.553215742111206,CNN-2D,0,training
46,2.4641871452331543,CNN-2D,0,training
47,2.348147392272949,CNN-2D,0,training
48,2.3332083225250244,CNN-2D,0,training
49,2.223931312561035,CNN-2D,0,training
50,2.1577906608581543,CNN-2D,0,training
51,2.0991315841674805,CNN-2D,0,training
52,2.0389041900634766,CNN-2D,0,training
53,1.9793790578842163,CNN-2D,0,training
54,1.944047451019287,CNN-2D,0,training
55,1.871387004852295,CNN-2D,0,training
56,1.7958420515060425,CNN-2D,0,training
57,1.778978705406189,CNN-2D,0,training
58,1.7561917304992676,CNN-2D,0,training
59,1.7148966789245605,CNN-2D,0,training
60,1.654954195022583,CNN-2D,0,training
61,1.6366937160491943,CNN-2D,0,training
62,1.601014256477356,CNN-2D,0,training
63,1.5545217990875244,CNN-2D,0,training
64,1.5065218210220337,CNN-2D,0,training
65,1.4908943176269531,CNN-2D,0,training
66,1.4869862794876099,CNN-2D,0,training
67,1.4284449815750122,CNN-2D,0,training
68,1.3840811252593994,CNN-2D,0,training
69,1.3566982746124268,CNN-2D,0,training
70,1.331070065498352,CNN-2D,0,training
71,1.2773603200912476,CNN-2D,0,training
72,1.3067562580108643,CNN-2D,0,training
73,1.256685733795166,CNN-2D,0,training
74,1.2426856756210327,CNN-2D,0,training
75,1.2207658290863037,CNN-2D,0,training
76,1.1885130405426025,CNN-2D,0,training
77,1.167208194732666,CNN-2D,0,training
78,1.1569697856903076,CNN-2D,0,training
79,1.131875991821289,CNN-2D,0,training
80,1.105645775794983,CNN-2D,0,training
81,1.122454047203064,CNN-2D,0,training
82,1.1635106801986694,CNN-2D,0,training
83,1.0442014932632446,CNN-2D,0,training
84,1.025329828262329,CNN-2D,0,training
85,1.0344462394714355,CNN-2D,0,training
86,0.99542236328125,CNN-2D,0,training
87,0.962593674659729,CNN-2D,0,training
88,1.0133757591247559,CNN-2D,0,training
89,0.9591310024261475,CNN-2D,0,training
90,0.9349822998046875,CNN-2D,0,training
91,0.9486640095710754,CNN-2D,0,training
92,0.9110878705978394,CNN-2D,0,training
93,0.8932316303253174,CNN-2D,0,training
94,0.8819252848625183,CNN-2D,0,training
95,0.8627501130104065,CNN-2D,0,training
96,0.8590808510780334,CNN-2D,0,training
97,0.8229117393493652,CNN-2D,0,training
98,0.8407917618751526,CNN-2D,0,training
99,0.817170262336731,CNN-2D,0,training
100,0.8032261729240417,CNN-2D,0,training
101,0.792084276676178,CNN-2D,0,training
102,0.7966967225074768,CNN-2D,0,training
103,0.7662477493286133,CNN-2D,0,training
104,0.7677315473556519,CNN-2D,0,training
105,0.7504240274429321,CNN-2D,0,training
106,0.7601129412651062,CNN-2D,0,training
107,0.734592616558075,CNN-2D,0,training
108,0.7440117597579956,CNN-2D,0,training
109,0.7555236220359802,CNN-2D,0,training
110,0.7301326394081116,CNN-2D,0,training
111,0.7529981136322021,CNN-2D,0,training
112,0.7483054995536804,CNN-2D,0,training
113,0.7523558139801025,CNN-2D,0,training
114,0.7578433752059937,CNN-2D,0,training
115,0.7501109838485718,CNN-2D,0,training
116,0.7622500658035278,CNN-2D,0,training
117,0.754794180393219,CNN-2D,0,training
118,0.7633976340293884,CNN-2D,0,training
119,0.7386494874954224,CNN-2D,0,training
120,0.7424414753913879,CNN-2D,0,training
121,0.7711003422737122,CNN-2D,0,training
122,0.7475916147232056,CNN-2D,0,training
123,0.7466843128204346,CNN-2D,0,training
124,0.7545794248580933,CNN-2D,0,training
125,0.7562805414199829,CNN-2D,0,training
126,0.7461802363395691,CNN-2D,0,training
127,0.7551265358924866,CNN-2D,0,training
128,0.7605081796646118,CNN-2D,0,training
129,0.7475814819335938,CNN-2D,0,training
130,0.7506699562072754,CNN-2D,0,training
131,0.7411648631095886,CNN-2D,0,training
132,0.7591801285743713,CNN-2D,0,training
133,0.7492438554763794,CNN-2D,0,training
134,0.750484824180603,CNN-2D,0,training
135,0.7426648736000061,CNN-2D,0,training
136,0.7435562014579773,CNN-2D,0,training
137,0.7419357895851135,CNN-2D,0,training
138,0.7513776421546936,CNN-2D,0,training
139,0.7419018149375916,CNN-2D,0,training
140,0.7587608695030212,CNN-2D,0,training
141,0.7511563897132874,CNN-2D,0,training
1,11.535622596740723,CNN-2D,0,validation
2,11.223770141601562,CNN-2D,0,validation
3,10.91136646270752,CNN-2D,0,validation
4,10.606136322021484,CNN-2D,0,validation
5,10.302268028259277,CNN-2D,0,validation
6,10.000031471252441,CNN-2D,0,validation
7,9.701835632324219,CNN-2D,0,validation
8,9.414216041564941,CNN-2D,0,validation
9,9.137067794799805,CNN-2D,0,validation
10,8.84449577331543,CNN-2D,0,validation
11,8.574509620666504,CNN-2D,0,validation
12,8.330028533935547,CNN-2D,0,validation
13,8.036277770996094,CNN-2D,0,validation
14,7.785064697265625,CNN-2D,0,validation
15,7.509462356567383,CNN-2D,0,validation
16,7.2672553062438965,CNN-2D,0,validation
17,7.057017803192139,CNN-2D,0,validation
18,6.87386417388916,CNN-2D,0,validation
19,6.56154727935791,CNN-2D,0,validation
20,6.326690673828125,CNN-2D,0,validation
21,6.130519390106201,CNN-2D,0,validation
22,5.898113250732422,CNN-2D,0,validation
23,5.718112468719482,CNN-2D,0,validation
24,5.510223388671875,CNN-2D,0,validation
25,5.293219566345215,CNN-2D,0,validation
26,5.108463287353516,CNN-2D,0,validation
27,5.091163635253906,CNN-2D,0,validation
28,4.760097980499268,CNN-2D,0,validation
29,4.573332786560059,CNN-2D,0,validation
30,4.4141411781311035,CNN-2D,0,validation
31,4.2850341796875,CNN-2D,0,validation
32,4.104049205780029,CNN-2D,0,validation
33,4.029599666595459,CNN-2D,0,validation
34,3.882781505584717,CNN-2D,0,validation
35,3.714454174041748,CNN-2D,0,validation
36,3.6012802124023438,CNN-2D,0,validation
37,3.5704030990600586,CNN-2D,0,validation
38,3.4235572814941406,CNN-2D,0,validation
39,3.210843086242676,CNN-2D,0,validation
40,3.1948461532592773,CNN-2D,0,validation
41,3.0496912002563477,CNN-2D,0,validation
42,2.960664749145508,CNN-2D,0,validation
43,2.998643636703491,CNN-2D,0,validation
44,2.6803741455078125,CNN-2D,0,validation
45,2.691624879837036,CNN-2D,0,validation
46,2.57037615776062,CNN-2D,0,validation
47,2.5792245864868164,CNN-2D,0,validation
48,2.4870176315307617,CNN-2D,0,validation
49,2.517507314682007,CNN-2D,0,validation
50,2.512157440185547,CNN-2D,0,validation
51,2.262242317199707,CNN-2D,0,validation
52,2.3343629837036133,CNN-2D,0,validation
53,2.3387773036956787,CNN-2D,0,validation
54,2.1077911853790283,CNN-2D,0,validation
55,2.0784361362457275,CNN-2D,0,validation
56,2.1709444522857666,CNN-2D,0,validation
57,2.17189621925354,CNN-2D,0,validation
58,1.998402714729309,CNN-2D,0,validation
59,1.9521830081939697,CNN-2D,0,validation
60,1.9077794551849365,CNN-2D,0,validation
61,1.9922930002212524,CNN-2D,0,validation
62,1.858330249786377,CNN-2D,0,validation
63,2.004178285598755,CNN-2D,0,validation
64,1.9632962942123413,CNN-2D,0,validation
65,1.883330225944519,CNN-2D,0,validation
66,1.895273208618164,CNN-2D,0,validation
67,1.8639450073242188,CNN-2D,0,validation
68,1.7544941902160645,CNN-2D,0,validation
69,1.8270761966705322,CNN-2D,0,validation
70,1.8027501106262207,CNN-2D,0,validation
71,1.7223000526428223,CNN-2D,0,validation
72,1.6816591024398804,CNN-2D,0,validation
73,1.7123057842254639,CNN-2D,0,validation
74,1.6904330253601074,CNN-2D,0,validation
75,1.709984540939331,CNN-2D,0,validation
76,1.6571030616760254,CNN-2D,0,validation
77,1.7608307600021362,CNN-2D,0,validation
78,1.6283949613571167,CNN-2D,0,validation
79,1.6301459074020386,CNN-2D,0,validation
80,1.816855788230896,CNN-2D,0,validation
81,1.7251628637313843,CNN-2D,0,validation
82,1.5817838907241821,CNN-2D,0,validation
83,1.6507344245910645,CNN-2D,0,validation
84,1.7347157001495361,CNN-2D,0,validation
85,1.6104692220687866,CNN-2D,0,validation
86,1.6325736045837402,CNN-2D,0,validation
87,1.6244215965270996,CNN-2D,0,validation
88,1.6187992095947266,CNN-2D,0,validation
89,1.5979573726654053,CNN-2D,0,validation
90,1.669291615486145,CNN-2D,0,validation
91,1.5673986673355103,CNN-2D,0,validation
92,1.6402593851089478,CNN-2D,0,validation
93,1.6676405668258667,CNN-2D,0,validation
94,1.640730857849121,CNN-2D,0,validation
95,1.6307005882263184,CNN-2D,0,validation
96,1.7145200967788696,CNN-2D,0,validation
97,1.5832805633544922,CNN-2D,0,validation
98,1.7843927145004272,CNN-2D,0,validation
99,1.641781210899353,CNN-2D,0,validation
100,1.7578318119049072,CNN-2D,0,validation
101,1.6010327339172363,CNN-2D,0,validation
102,1.6002000570297241,CNN-2D,0,validation
103,1.6023441553115845,CNN-2D,0,validation
104,1.6065974235534668,CNN-2D,0,validation
105,1.6095900535583496,CNN-2D,0,validation
106,1.6128610372543335,CNN-2D,0,validation
107,1.6141748428344727,CNN-2D,0,validation
108,1.6180055141448975,CNN-2D,0,validation
109,1.6199547052383423,CNN-2D,0,validation
110,1.62260901927948,CNN-2D,0,validation
111,1.623505711555481,CNN-2D,0,validation
112,1.6237531900405884,CNN-2D,0,validation
113,1.623964548110962,CNN-2D,0,validation
114,1.6238787174224854,CNN-2D,0,validation
115,1.623586654663086,CNN-2D,0,validation
116,1.6240260601043701,CNN-2D,0,validation
117,1.624014139175415,CNN-2D,0,validation
118,1.6244789361953735,CNN-2D,0,validation
119,1.6241815090179443,CNN-2D,0,validation
120,1.6239769458770752,CNN-2D,0,validation
121,1.6241334676742554,CNN-2D,0,validation
122,1.624072790145874,CNN-2D,0,validation
123,1.6240630149841309,CNN-2D,0,validation
124,1.6236567497253418,CNN-2D,0,validation
125,1.6236492395401,CNN-2D,0,validation
126,1.6234917640686035,CNN-2D,0,validation
127,1.623875379562378,CNN-2D,0,validation
128,1.6241626739501953,CNN-2D,0,validation
129,1.624082088470459,CNN-2D,0,validation
130,1.6249630451202393,CNN-2D,0,validation
131,1.6239509582519531,CNN-2D,0,validation
132,1.6236844062805176,CNN-2D,0,validation
133,1.6237156391143799,CNN-2D,0,validation
134,1.623368263244629,CNN-2D,0,validation
135,1.6236144304275513,CNN-2D,0,validation
136,1.62322998046875,CNN-2D,0,validation
137,1.6234519481658936,CNN-2D,0,validation
138,1.6240018606185913,CNN-2D,0,validation
139,1.6235475540161133,CNN-2D,0,validation
140,1.6240001916885376,CNN-2D,0,validation
141,1.624214768409729,CNN-2D,0,validation
1,11.802181243896484,CNN-2D,1,training
2,11.50344467163086,CNN-2D,1,training
3,11.22640609741211,CNN-2D,1,training
4,10.925995826721191,CNN-2D,1,training
5,10.645315170288086,CNN-2D,1,training
6,10.365458488464355,CNN-2D,1,training
7,10.103317260742188,CNN-2D,1,training
8,9.827579498291016,CNN-2D,1,training
9,9.546067237854004,CNN-2D,1,training
10,9.272408485412598,CNN-2D,1,training
11,9.015429496765137,CNN-2D,1,training
12,8.762157440185547,CNN-2D,1,training
13,8.493321418762207,CNN-2D,1,training
14,8.253643989562988,CNN-2D,1,training
15,8.007373809814453,CNN-2D,1,training
16,7.753973484039307,CNN-2D,1,training
17,7.520877838134766,CNN-2D,1,training
18,7.29629373550415,CNN-2D,1,training
19,7.064266204833984,CNN-2D,1,training
20,6.840144157409668,CNN-2D,1,training
21,6.614765644073486,CNN-2D,1,training
22,6.401072978973389,CNN-2D,1,training
23,6.205729007720947,CNN-2D,1,training
24,5.9898457527160645,CNN-2D,1,training
25,5.806454658508301,CNN-2D,1,training
26,5.608889102935791,CNN-2D,1,training
27,5.425361633300781,CNN-2D,1,training
28,5.2319722175598145,CNN-2D,1,training
29,5.038684844970703,CNN-2D,1,training
30,4.865229606628418,CNN-2D,1,training
31,4.686075210571289,CNN-2D,1,training
32,4.522995471954346,CNN-2D,1,training
33,4.373473167419434,CNN-2D,1,training
34,4.222565650939941,CNN-2D,1,training
35,4.0752129554748535,CNN-2D,1,training
36,3.9253790378570557,CNN-2D,1,training
37,3.767101764678955,CNN-2D,1,training
38,3.6415047645568848,CNN-2D,1,training
39,3.518869161605835,CNN-2D,1,training
40,3.398010492324829,CNN-2D,1,training
41,3.275925874710083,CNN-2D,1,training
42,3.2019455432891846,CNN-2D,1,training
43,3.094604253768921,CNN-2D,1,training
44,2.9822018146514893,CNN-2D,1,training
45,2.878441095352173,CNN-2D,1,training
46,2.7850067615509033,CNN-2D,1,training
47,2.7160003185272217,CNN-2D,1,training
48,2.626254081726074,CNN-2D,1,training
49,2.552128791809082,CNN-2D,1,training
50,2.5164382457733154,CNN-2D,1,training
51,2.416745662689209,CNN-2D,1,training
52,2.385559320449829,CNN-2D,1,training
53,2.310351848602295,CNN-2D,1,training
54,2.2372665405273438,CNN-2D,1,training
55,2.1832406520843506,CNN-2D,1,training
56,2.123757839202881,CNN-2D,1,training
57,2.118010997772217,CNN-2D,1,training
58,2.059279203414917,CNN-2D,1,training
59,2.001852512359619,CNN-2D,1,training
60,1.9422523975372314,CNN-2D,1,training
61,1.917686939239502,CNN-2D,1,training
62,1.837548017501831,CNN-2D,1,training
63,1.824217438697815,CNN-2D,1,training
64,1.78450345993042,CNN-2D,1,training
65,1.7561407089233398,CNN-2D,1,training
66,1.701829433441162,CNN-2D,1,training
67,1.6782474517822266,CNN-2D,1,training
68,1.643312931060791,CNN-2D,1,training
69,1.5882419347763062,CNN-2D,1,training
70,1.5705844163894653,CNN-2D,1,training
71,1.555970311164856,CNN-2D,1,training
72,1.5350016355514526,CNN-2D,1,training
73,1.4803342819213867,CNN-2D,1,training
74,1.4486290216445923,CNN-2D,1,training
75,1.4022986888885498,CNN-2D,1,training
76,1.4224634170532227,CNN-2D,1,training
77,1.3906911611557007,CNN-2D,1,training
78,1.393225073814392,CNN-2D,1,training
79,1.3353593349456787,CNN-2D,1,training
80,1.2777923345565796,CNN-2D,1,training
81,1.298183560371399,CNN-2D,1,training
82,1.250917911529541,CNN-2D,1,training
83,1.229265809059143,CNN-2D,1,training
84,1.2318249940872192,CNN-2D,1,training
85,1.221632480621338,CNN-2D,1,training
86,1.1855918169021606,CNN-2D,1,training
87,1.1548988819122314,CNN-2D,1,training
88,1.1860915422439575,CNN-2D,1,training
89,1.1056119203567505,CNN-2D,1,training
90,1.1018588542938232,CNN-2D,1,training
91,1.0827041864395142,CNN-2D,1,training
