epoch,loss,model,fold,dataset
1,11.238114356994629,CNN-2D,0,training
2,11.002758979797363,CNN-2D,0,training
3,10.741108894348145,CNN-2D,0,training
4,10.500885963439941,CNN-2D,0,training
5,10.26213550567627,CNN-2D,0,training
6,10.025330543518066,CNN-2D,0,training
7,9.811614036560059,CNN-2D,0,training
8,9.562114715576172,CNN-2D,0,training
9,9.35216999053955,CNN-2D,0,training
10,9.13166618347168,CNN-2D,0,training
11,8.91044807434082,CNN-2D,0,training
12,8.699944496154785,CNN-2D,0,training
13,8.488338470458984,CNN-2D,0,training
14,8.26901626586914,CNN-2D,0,training
15,8.0770263671875,CNN-2D,0,training
16,7.891726970672607,CNN-2D,0,training
17,7.662624359130859,CNN-2D,0,training
18,7.494457244873047,CNN-2D,0,training
19,7.270156383514404,CNN-2D,0,training
20,7.068159580230713,CNN-2D,0,training
21,6.879873752593994,CNN-2D,0,training
22,6.719171047210693,CNN-2D,0,training
23,6.526678085327148,CNN-2D,0,training
24,6.300261497497559,CNN-2D,0,training
25,6.115398406982422,CNN-2D,0,training
26,5.965521812438965,CNN-2D,0,training
27,5.783134460449219,CNN-2D,0,training
28,5.601587772369385,CNN-2D,0,training
29,5.456735610961914,CNN-2D,0,training
30,5.334781646728516,CNN-2D,0,training
31,5.176401615142822,CNN-2D,0,training
32,4.961561679840088,CNN-2D,0,training
33,4.827418804168701,CNN-2D,0,training
34,4.677459239959717,CNN-2D,0,training
35,4.550716400146484,CNN-2D,0,training
36,4.378750801086426,CNN-2D,0,training
37,4.262341499328613,CNN-2D,0,training
38,4.10863733291626,CNN-2D,0,training
39,3.991262197494507,CNN-2D,0,training
40,3.848566770553589,CNN-2D,0,training
41,3.7227017879486084,CNN-2D,0,training
42,3.588439702987671,CNN-2D,0,training
43,3.492274761199951,CNN-2D,0,training
44,3.4166970252990723,CNN-2D,0,training
45,3.306124448776245,CNN-2D,0,training
46,3.15193772315979,CNN-2D,0,training
47,3.0740206241607666,CNN-2D,0,training
48,2.9573044776916504,CNN-2D,0,training
49,2.8545193672180176,CNN-2D,0,training
50,2.7822213172912598,CNN-2D,0,training
51,2.676724910736084,CNN-2D,0,training
52,2.5752670764923096,CNN-2D,0,training
53,2.5236129760742188,CNN-2D,0,training
54,2.4800071716308594,CNN-2D,0,training
55,2.328340530395508,CNN-2D,0,training
56,2.2536654472351074,CNN-2D,0,training
57,2.235811233520508,CNN-2D,0,training
58,2.100484609603882,CNN-2D,0,training
59,2.0792620182037354,CNN-2D,0,training
60,1.964677333831787,CNN-2D,0,training
61,1.9507771730422974,CNN-2D,0,training
62,1.868311882019043,CNN-2D,0,training
63,1.8072807788848877,CNN-2D,0,training
64,1.7718299627304077,CNN-2D,0,training
65,1.771729588508606,CNN-2D,0,training
66,1.6653499603271484,CNN-2D,0,training
67,1.6221381425857544,CNN-2D,0,training
68,1.5848960876464844,CNN-2D,0,training
69,1.6156638860702515,CNN-2D,0,training
70,1.5708982944488525,CNN-2D,0,training
71,1.523375153541565,CNN-2D,0,training
72,1.4319825172424316,CNN-2D,0,training
73,1.3914247751235962,CNN-2D,0,training
74,1.375780463218689,CNN-2D,0,training
75,1.328881025314331,CNN-2D,0,training
