pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,play_ids
KC,2021-10-03,82.2,-0.67,5.66,"Buehler, Walker",598265,621111,strikeout,swinging_strike_blocked,,,,,14,Jackie Bradley strikes out swinging.,R,L,R,LAD,MIL,S,2.0,,0,2,2021,1.08,-1.15,0.54,-0.35,,541645.0,649966.0,2,4,Top,,,,,669257,,,0.6510394793817973,-119.65857250020402,-4.819640901032451,10.207217800725587,24.748150832620304,-42.43079977754058,3.3,1.5,,,,82.1,2809.0,6.4,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.11,,,0.0,1.0,0.0,0.0,,26,3,Knuckle Curve,0,1,1,0,1,0,1,0,Strategic,Standard,34.0,0.044,-0.28,4d2c3d49-94b9-4b51-a77a-b4504c963f42
KC,2021-10-03,81.8,-0.75,5.74,"Buehler, Walker",598265,621111,,swinging_strike,,,,,14,Jackie Bradley strikes out swinging.,R,L,R,LAD,MIL,S,,,0,1,2021,1.14,-1.12,0.4,1.04,,541645.0,649966.0,2,4,Top,,,,,669257,,,0.3834932697970772,-119.13708908289854,-1.834202432312308,10.707750558416228,24.368339289972862,-42.64210760200091,3.3,1.5,,,,81.9,2843.0,6.4,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.05,,,,,,,,26,2,Knuckle Curve,0,1,1,0,1,0,1,0,Strategic,Standard,34.0,0.0,-0.096,5b639d2c-4d72-4ea5-9986-40ab2cbcd4e8
FF,2021-10-03,98.0,-0.81,5.65,"Buehler, Walker",598265,621111,,called_strike,,,,,8,Jackie Bradley strikes out swinging.,R,L,R,LAD,MIL,S,,,0,0,2021,-0.28,1.19,-0.21,1.87,,541645.0,649966.0,2,4,Top,,,,,669257,,,2.2815496916651488,-142.76112423459102,-7.562259957861754,-4.350773275120246,28.36189911400351,-14.401832386755498,3.43,1.48,,,,98.8,2353.0,6.4,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.13,,,,,,,,26,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Strategic,Standard,196.0,0.0,-0.074,f30b5fb1-a47a-4b9a-953a-a9e291c25adc
SL,2021-10-03,84.4,-0.89,5.6,"Buehler, Walker",621438,621111,field_out,hit_into_play,,,,,8,Tyrone Taylor flies out to left fielder AJ Pollock.,R,R,R,LAD,MIL,X,7.0,fly_ball,0,2,2021,1.18,-0.49,0.08,1.94,,541645.0,649966.0,1,4,Top,69.92,93.06,,,669257,,,-0.0810280976190682,-123.02971792614125,-1.2394485317487538,12.059836173636018,22.655025732935005,-37.1953228928331,3.3,1.61,297.0,83.5,38.0,84.8,2686.0,6.3,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.22,0.014,0.019,0.0,1.0,0.0,0.0,3.0,25,3,Slider,0,1,1,0,1,0,1,0,Infield shift,Standard,64.0,0.043,-0.287,c6ebe342-c1b9-4269-b8bd-ed13ede641df
SL,2021-10-03,85.3,-0.91,5.46,"Buehler, Walker",621438,621111,,swinging_strike,,,,,14,Tyrone Taylor flies out to left fielder AJ Pollock.,R,R,R,LAD,MIL,S,,,0,1,2021,1.52,0.19,0.87,1.53,,541645.0,649966.0,1,4,Top,,,,,669257,,,1.1296534911922047,-124.34052575176476,-3.379095433927596,15.648022445600128,23.511979638432788,-29.72773835267889,3.3,1.61,,,,85.6,2719.0,6.3,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.24,,,,,,,,25,2,Slider,0,1,1,0,1,0,1,0,Infield shift,Standard,67.0,0.0,-0.113,10899a22-aaf1-4a26-9c1e-b8ed6b5c0420
FF,2021-10-03,96.8,-0.62,5.7,"Buehler, Walker",621438,621111,,called_strike,,,,,14,Tyrone Taylor flies out to left fielder AJ Pollock.,R,R,R,LAD,MIL,S,,,0,0,2021,-0.25,1.45,0.77,1.48,,541645.0,649966.0,1,4,Top,,,,,669257,,,4.2801718518915735,-140.83348949803627,-9.074805913447024,-4.227178962542269,28.807708375574105,-11.056153153948328,3.42,1.7,,,,97.4,2369.0,6.4,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.09,,,,,,,,25,1,4-Seam Fastball,0,1,1,0,1,0,1,0,Infield shift,Standard,198.0,0.0,-0.074,dd49f6ba-9c3a-41b9-813d-d7506a22c006
KC,2021-10-03,80.7,-0.75,5.77,"Buehler, Walker",553882,621111,strikeout,swinging_strike_blocked,,,,,14,Omar Narvaez strikes out swinging.,R,L,R,LAD,MIL,S,2.0,,1,2,2021,1.19,-1.04,0.4,0.6,,541645.0,649966.0,0,4,Top,,,,,669257,,,0.2831547557923346,-117.48394790664398,-2.852026746922191,10.941175837959848,23.092810216047084,-41.46339953759685,3.32,1.51,,,,80.8,2735.0,6.4,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.06,,,0.0,1.0,0.0,0.0,,24,5,Knuckle Curve,0,1,1,0,1,0,1,0,Standard,Standard,34.0,0.049,-0.463,cf490adb-1064-44ad-8ef4-b41cd81fe8f3
KC,2021-10-03,81.7,-0.62,5.67,"Buehler, Walker",553882,621111,,foul,,,,,13,Omar Narvaez strikes out swinging.,R,L,R,LAD,MIL,S,,,1,2,2021,0.9,-0.94,-0.02,0.67,,541645.0,649966.0,0,4,Top,,,,,669257,,,-0.3887778030733749,-119.04868992832472,-2.8938056128023484,8.628713382799353,23.124387846470864,-40.76940819342922,3.32,1.51,,,,82.1,2736.0,6.5,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.0,,,,,,,,24,4,Knuckle Curve,0,1,1,0,1,0,1,0,Standard,Standard,33.0,0.0,0.0,c51ea70c-71d7-473a-9a78-2d406f2d39ed
KC,2021-10-03,81.1,-0.56,5.73,"Buehler, Walker",553882,621111,,called_strike,,,,,4,Omar Narvaez strikes out swinging.,R,L,R,LAD,MIL,S,,,1,1,2021,0.88,-1.02,-0.64,2.51,,541645.0,649966.0,0,4,Top,,,,,669257,,,-1.875004280195233,-118.17701872618689,1.3720305614644048,8.629127188731717,22.238632890230967,-42.23830897560835,3.34,1.5,,,,81.4,2786.0,6.4,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.11,,,,,,,,24,3,Knuckle Curve,0,1,1,0,1,0,1,0,Standard,Standard,32.0,0.0,-0.126,02ecb681-1919-4775-85eb-718bcf76e084
FF,2021-10-03,95.9,-0.83,5.74,"Buehler, Walker",553882,621111,,ball,,,,,11,Omar Narvaez strikes out swinging.,R,L,R,LAD,MIL,B,,,0,1,2021,-0.34,1.33,-0.76,4.3,,541645.0,649966.0,0,4,Top,,,,,669257,,,0.9267757301202172,-139.71944523420302,-1.2784371830035397,-4.609543531359654,29.05938487573844,-14.53663027947638,3.3,1.52,,,,96.1,2394.0,6.2,632242,621111,669257,405395,607208,457759,608369,572041,621035,605141,54.31,,,,,,,,24,2,4-Seam Fastball,0,1,1,0,1,0,1,0,Standard,Standard,192.0,0.0,0.084,40aa1a4c-8bbe-49e1-a722-eed27b81f16d
